Time,Pitch,Roll
20.920,-55.22,-42.39
20.970,-52.14,-40.40
21.020,-49.20,-38.48
21.070,-46.41,-36.67
21.120,-43.74,-34.91
21.170,-41.23,-33.24
21.220,-38.83,-31.64
21.270,-36.56,-30.19
22.317,-33.72,-29.74
22.370,-31.60,-28.24
22.420,-29.70,-26.94
22.470,-27.90,-25.66
22.520,-26.10,-24.31
22.570,-24.35,-23.83
22.620,-22.71,-22.79
22.740,-21.17,-21.71
22.790,-19.79,-20.68
22.840,-18.49,-19.72
22.890,-17.24,-18.78
22.940,-16.07,-17.88
22.990,-14.96,-17.06
23.040,-13.90,-16.25
23.090,-12.87,-15.50
23.140,-11.90,-14.79
23.190,-10.98,-14.08
23.240,-10.11,-13.42
23.290,-9.29,-12.80
23.340,-8.49,-12.22
23.390,-7.75,-11.67
23.440,-7.02,-11.12
23.490,-6.34,-10.64
23.540,-5.70,-10.14
23.590,-5.11,-9.69
23.640,-4.52,-9.28
23.690,-3.95,-8.87
23.740,-3.44,-8.46
23.790,-2.95,-8.10
23.840,-2.48,-7.74
23.890,-2.05,-7.43
23.940,-1.61,-7.13
24.100,-1.08,-6.86
24.150,-0.74,-6.56
24.200,-0.13,-5.87
24.250,0.48,-6.08
24.300,2.13,-10.96
24.350,1.68,-12.70
24.400,1.25,-15.18
24.450,1.00,-19.13
24.500,1.15,-24.91
24.550,1.56,-29.80
24.600,0.51,-34.90
24.650,0.43,-37.06
24.700,0.92,-38.61
24.750,1.20,-38.24
24.800,1.36,-36.57
24.850,1.71,-34.49
24.900,1.92,-31.75
24.950,1.59,-25.78
25.000,0.83,-18.42
25.050,0.14,-15.79
25.100,-0.39,-10.62
25.150,-1.24,-4.16
25.200,-2.28,0.39
25.250,-2.54,5.29
25.300,-3.61,9.01
25.350,-5.24,10.83
25.400,-5.57,14.79
25.500,-6.67,19.17
25.550,-6.85,20.65
25.600,-7.18,21.48
25.650,-7.15,21.79
25.700,-7.20,20.52
25.750,-7.49,16.70
25.800,-7.51,8.69
25.850,-7.55,-0.55
25.900,-7.41,-5.88
25.950,-7.42,-8.16
26.000,-7.79,-7.91
26.050,-8.97,-4.24
26.100,-11.24,-3.52
26.150,-14.02,-1.67
26.200,-16.66,2.76
26.250,-19.01,2.94
26.300,-22.55,4.49
26.350,-26.32,5.55
26.400,-28.74,6.77
26.450,-30.62,6.74
26.500,-31.82,6.33
26.550,-32.71,6.09
26.600,-32.69,5.62
26.650,-32.36,4.51
26.700,-31.60,2.36
26.750,-28.36,0.36
26.850,-18.86,0.16
26.900,-12.26,0.92
26.950,-7.35,0.71
27.000,6.43,4.46
